,Company Names,Cars Names,Engines,HorsePower,Fuel Types,Seats,Torque,Price,Speed,Acceleration,Battery Capacity
1035,Ford,Mustang,5.0L V8,450.0,petrol,4,530.0,55000.0,250.0,4.3,5000.0
1036,Ford,GT,3.5L Twin-Turbo V6,660.0,petrol,2,746.0,500000.0,348.0,3.0,3500.0
1037,Ford,Focus ST,2.3L Turbo Inline-4,280.0,petrol,5,420.0,30000.0,250.0,5.7,2300.0
1038,Ford,Fiesta ST,1.5L Turbo Inline-3,200.0,petrol,5,290.0,23000.0,230.0,6.5,1500.0
1039,Ford,Bronco Raptor,3.0L Twin-Turbo V6,400.0,petrol,4,583.0,70000.0,220.0,5.5,3000.0
1040,Ford,Ranger Raptor,2.7L Twin-Turbo V6,392.0,petrol,5,583.0,45000.0,200.0,6.0,2700.0
1041,Ford,F-150 Raptor,3.5L Twin-Turbo V6,450.0,petrol,5,691.0,70000.0,200.0,5.0,3500.0
1042,Ford,Puma,Turbocharged Inline-3,123.0,petrol,5,200.0,28000.0,191.0,9.6,1000.0
1043,Ford,Territory,Turbocharged Inline-4,140.0,petrol,5,225.0,32000.0,180.0,11.0,1500.0
1044,Ford,Everest,Turbocharged Inline-4,210.0,diesel,7,500.0,52000.0,190.0,10.5,2000.0
1045,Ford,Flex,Naturally Aspirated V6,287.0,petrol,7,345.0,31000.0,200.0,7.9,3500.0
1046,Ford,Transit,EcoBlue Turbo Diesel,170.0,diesel,8,405.0,43455.0,160.0,12.0,2000.0
1047,Ford,Transit Connect,Inline-4 Gasoline Engine,162.0,petrol,4,200.0,29365.0,175.0,10.5,2000.0
1048,Ford,F-450 Super Duty,Turbocharged V8 Diesel,475.0,diesel,4,1.0,61625.0,165.0,8.5,6700.0
1049,Ford,F-550 Super Duty,Turbocharged V8 Diesel,475.0,diesel,4,1.0,64540.0,165.0,8.8,6700.0
1050,Ford,Mustang Shelby GT500,Supercharged V8,760.0,petrol,2,847.0,79420.0,290.0,3.5,5200.0
1051,Ford,Mustang Shelby GT350,Naturally Aspirated V8,526.0,petrol,2,582.0,59140.0,280.0,4.0,5200.0
